I am mad
he is mad
she is mad
they are sad
we are mad
you are mad
I am sad
he is sad
she is sad
they are mad
we are sad
you are sad
I am hungry
she is hungry
you are hungry
we are hungry
he is hungry
I am big
he is big
she is big
we are big
you are big
they are big
I am small
you are small
he is small
we are small
they are small
I am happy
he is happy
she is happy
they are happy
we are happy
you are happy
I am tired
he is tired
she is tired
they are tired
we are tired
you are tired
I am strong
he is strong
she is strong
they are strong
we are strong
you are strong
I am weak
he is weak
she is weak
they are weak
we are weak
you are weak
I am fast
he is fast
she is fast
they are fast
we are fast
you are fast
I am slow
he is slow
she is slow
they are slow
we are slow
you are slow
I am tall
he is tall
she is tall
they are tall
we are tall
you are tall
I am short
he is short
she is short
they are short
we are short
you are short
I am kind
he is kind
she is kind
they are kind
we are kind
you are kind
I am mean
he is mean
she is mean
they are mean
we are mean
you are mean
I am brave
he is brave
she is brave
they are brave
we are brave
you are brave
I am shy
he is shy
she is shy
they are shy
we are shy
you are shy
I am excited
he is excited
she is excited
they are excited
we are excited
you are excited
I am bored
he is bored
she is bored
they are bored
we are bored
you are bored
I am annoyed
he is annoyed
she is annoyed
they are annoyed
we are annoyed
you are annoyed
I am scared
he is scared
she is scared
they are scared
we are scared
you are scared
I am cold
he is cold
she is cold
they are cold
we are cold
you are cold
I am warm
he is warm
she is warm
they are warm
we are warm
you are warm
I am clever
he is clever
she is clever
they are clever
we are clever
you are clever
I am foolish
he is foolish
she is foolish
they are foolish
we are foolish
you are foolish
I am busy
he is busy
she is busy
they are busy
we are busy
you are busy
I am lazy
he is lazy
she is lazy
they are lazy
we are lazy
you are lazy
I am serious
he is serious
she is serious
they are serious
we are serious
you are serious
I am funny
he is funny
she is funny
they are funny
we are funny
you are funny
I am curious
he is curious
she is curious
they are curious
we are curious
you are curious
I am friendly
he is friendly
she is friendly
they are friendly
we are friendly
you are friendly
I am lonely
he is lonely
she is lonely
they are lonely
we are lonely
you are lonely
I am jealous
he is jealous
she is jealous
they are jealous
we are jealous
you are jealous
I am confused
he is confused
she is confused
they are confused
we are confused
you are confused
I am surprised
he is surprised
she is surprised
they are surprised
we are surprised
you are surprised
I am grateful
he is grateful
she is grateful
they are grateful
we are grateful
you are grateful
I am confident
he is confident
she is confident
they are confident
we are confident
you are confident
I am nervous
he is nervous
she is nervous
they are nervous
we are nervous
you are nervous
I am embarrassed
he is embarrassed
she is embarrassed
they are embarrassed
we are embarrassed
you are embarrassed
I am disappointed
he is disappointed
she is disappointed
they are disappointed
we are disappointed
you are disappointed
I am proud
he is proud
she is proud
they are proud
we are proud
you are proud
I am relaxed
he is relaxed
she is relaxed
they are relaxed
we are relaxed
you are relaxed
I am overwhelmed
he is overwhelmed
she is overwhelmed
they are overwhelmed
we are overwhelmed
you are overwhelmed
I am frustrated
